DATE_TRANSPA,CANTON,INDICATEUR,TYPE_SIM,VAR,Indic_Init,Indic,SEUIL1,SEUIL2,ASSIETTE,NOTATION,Scenario,VAR_ZCN10Y_BP,VAR_ZCR10Y_BP,VAR_BEI10Y_BP,VAR_SPD_BP,RDT_EQU,RDT_IMMO,DEFAUT_GOVT,DEFAUT_CORP,indic_tod
2024-12-31,BPCEM AG,PRE,CREDIT,99,1.1010491519,1.10104899529,1.07,1.0,80750134.33,1.0,87.0,0.0,0.0,0.0,74.9,0.0,0.0,0.0,0.0,0
2024-12-31,BPCEM AG,PRE,GLOBAL,95,1.1010491519,1.05244661349,1.07,1.0,80750134.33,3.0,709.0,-82.3,-38.3657,-43.1193457357,2.9,-0.14286658300000002,-0.027153,0.00121074097472,0.0016950373646,0
2024-12-31,BPCEM AG,PRE,GLOBAL,99,1.1010491519,1.01733895805,1.07,1.0,80750134.33,3.0,596.0,-17.9,-10.1849,-7.48456687584,-1.7000000000000002,-0.26302720700000004,-0.015636,0.0013734122309000001,0.00192277712327,0
2024-12-31,BPCEM AG,PRE,IMMO,95,1.1010491519,1.09579138233,1.07,1.0,80750134.33,1.0,495.0,0.0,0.0,0.0,0.0,0.0,-0.031304,0.0,0.0,0
2024-12-31,BPCEM AG,PRE,IMMO,99,1.1010491519,1.08993728426,1.07,1.0,80750134.33,1.0,498.0,0.0,0.0,0.0,0.0,0.0,-0.066146,0.0,0.0,0
2024-12-31,BPCEM AG,PRE,TAUX,95,1.1010491519,1.10104903379,1.07,1.0,80750134.33,1.0,33.0,-162.2,-119.2046,-40.9564515926,0.0,0.0,0.0,0.0,0.0,0
2024-12-31,BPCEM AG,PRE,TAUX,99,1.1010491519,1.10104899429,1.07,1.0,80750134.33,1.0,430.0,-120.3,-83.8524,-34.9286573316,0.0,0.0,0.0,0.0,0.0,0
2024-12-31,BPCEM AG,PVR,ACTION,95,0.0532430944255,0.0355809989185,0.06,0.02,170218948.35,4.0,440.0,0.0,0.0,0.0,0.0,-0.17795831,0.0,0.0,0.0,0
2024-12-31,BPCEM AG,PVR,ACTION,99,0.0532430944255,0.0291297664212,0.06,0.02,170218948.35,4.0,415.0,0.0,0.0,0.0,0.0,-0.272477376,0.0,0.0,0.0,0
2024-12-31,BPCEM AG,PVR,CREDIT,95,0.0532430944255,0.0532430490231,0.06,0.02,170218948.35,4.0,681.0,0.0,0.0,0.0,48.9,0.0,0.0,0.0,0.0,0
2024-12-31,BPCEM AG,PVR,CREDIT,99,0.0532430944255,0.0532430201295,0.06,0.02,170218948.35,4.0,87.0,0.0,0.0,0.0,74.9,0.0,0.0,0.0,0.0,0
2024-12-31,BPCEM AG,PVR,GLOBAL,95,0.0532430944255,0.0376025871049,0.06,0.02,170218948.35,4.0,248.0,-57.0,-53.791,-2.17129163128,12.9,-0.158517976,0.010988999999999999,0.00161164506018,0.00225630308425,0
2024-12-31,BPCEM AG,PVR,GLOBAL,99,0.0532430944255,0.029245748172999998,0.06,0.02,170218948.35,4.0,596.0,-17.9,-10.1849,-7.48456687584,-1.7000000000000002,-0.26302720700000004,-0.015636,0.0013734122309000001,0.00192277712327,0
2024-12-31,BPCEM AG,PVR,IMMO,95,0.0532430944255,0.0523184950067,0.06,0.02,170218948.35,4.0,495.0,0.0,0.0,0.0,0.0,0.0,-0.031304,0.0,0.0,0
2024-12-31,BPCEM AG,PVR,IMMO,99,0.0532430944255,0.051438182294200004,0.06,0.02,170218948.35,4.0,498.0,0.0,0.0,0.0,0.0,0.0,-0.066146,0.0,0.0,0
2024-12-31,BPCEM AG,PVR,TAUX,95,0.0532430944255,0.0532430383933,0.06,0.02,170218948.35,4.0,33.0,-162.2,-119.2046,-40.9564515926,0.0,0.0,0.0,0.0,0.0,0
2024-12-31,BPCEM AG,PVR,TAUX,99,0.0532430944255,0.0532430196573,0.06,0.02,170218948.35,4.0,430.0,-120.3,-83.8524,-34.9286573316,0.0,0.0,0.0,0.0,0.0,0
2024-12-31,CGP AG,PDD,ACTION,95,0.00028909101611,0.00044099370231300006,0.0005,0.02,6363500630.3,2.0,440.0,0.0,0.0,0.0,0.0,-0.17795831,0.0,0.0,0.0,0
2024-12-31,CGP AG,PDD,ACTION,99,0.00028909101611,0.00106557031659,0.0005,0.02,6363500630.3,2.0,415.0,0.0,0.0,0.0,0.0,-0.272477376,0.0,0.0,0.0,0
2024-12-31,CGP AG,PDD,CREDIT,95,0.00028909101611,0.00028909101611,0.0005,0.02,6363500630.3,1.0,50.0,0.0,0.0,0.0,1.7000000000000002,0.0,0.0,0.0,0.0,0
2024-12-31,CGP AG,PDD,CREDIT,99,0.00028909101611,0.00028909101611,0.0005,0.02,6363500630.3,1.0,10.0,0.0,0.0,0.0,-3.9,0.0,0.0,0.0,0.0,0
2024-12-31,CGP AG,PDD,GLOBAL,95,0.00028909101611,0.0007240356699110001,0.0005,0.02,6363500630.3,3.0,800.0,-130.9,-79.7358,-49.7457414115,-8.2,-0.113833238,0.041568,0.00122391270097,0.00171347778136,0
